_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,excluded_folders
backbone+mse_weight_epochs,,24,3.0454150977820778,3.8251467951139317,1.3279250451561444,smallcnn,,10.0,
backbone+mse_weight_epochs,,24,3.1368378596464632,3.8185444497660055,1.4237150233353684,smallcnn,,25.0,
backbone+mse_weight_epochs,,24,3.2398726347351743,3.537636517659955,0.7561993965224391,resnet18,,50.0,
backbone+mse_weight_epochs,,24,3.247804551281914,3.5405563413725347,0.7259777118325396,resnet18,,75.0,
backbone+mse_weight_epochs,,24,3.2501172376557355,3.51206610090756,0.8230960163094397,resnet18,,25.0,
backbone+mse_weight_epochs,,24,3.2961851243049867,3.8816018789565283,1.337806962486893,smallcnn,,50.0,
backbone+mse_weight_epochs,,24,3.3010253171062445,3.7753261925186306,1.222655871631484,smallcnn,,75.0,
backbone+mse_weight_epochs,,24,3.44464063171212,3.598952943270851,0.7421928836016545,resnet18,,10.0,
backbone+excluded_folders,,24,2.913794483765062,3.4603589606811727,1.1989217818028122,smallcnn,,,pixel+samsung
backbone+excluded_folders,,24,2.945910262774272,3.2125678971469642,0.552845055414657,resnet18,,,pixel+samsung
backbone+excluded_folders,,24,2.990902593058925,3.343552674657555,0.602734598440665,resnet18,,,samsung
backbone+excluded_folders,,24,3.0550116255083157,3.8871903110096473,1.3849408439069215,smallcnn,,,pixel
backbone+excluded_folders,,24,3.2595702755835747,3.838960168502664,1.318390455256633,smallcnn,,,samsung
backbone+excluded_folders,,24,3.3000796441813463,3.6748147496133665,0.7586450327697937,resnet18,,,pixel
backbone+excluded_folders,,24,3.517409173647563,4.114109876161613,1.325554880432764,smallcnn,,,none
backbone+excluded_folders,,24,3.5331836506940313,3.9582765817930157,0.8564616738242066,resnet18,,,none
features+mse_weight_epochs,,16,2.8556414274005752,2.9258219892243393,0.34779471776795934,,image+mean+meta,25.0,
features+mse_weight_epochs,,16,2.9195143622129773,2.92304312990075,0.2004226756802631,,image+mean+meta,50.0,
features+mse_weight_epochs,,16,2.9530416048965633,2.9798212877610553,0.36857401439022197,,image+meta,25.0,
features+mse_weight_epochs,,16,2.965089961284768,3.029742694062283,0.34263439948745444,,image+mean+meta,10.0,
features+mse_weight_epochs,,16,2.9660886111008846,3.0847824822781367,0.40096384715341843,,image+meta,75.0,
features+mse_weight_epochs,,16,2.9761994567262122,3.072426447374745,0.2989602704307233,,image+meta,10.0,
features+mse_weight_epochs,,16,3.024399548521716,3.0035833915451833,0.310361294959265,,image+mean+meta,75.0,
features+mse_weight_epochs,,16,3.1982409234423277,3.1614938664034633,0.39521880495625095,,image+meta,50.0,
