run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
9b6cc1d03bf7,2.793100158852267,53,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e053_de002.7931.pt,late,resnet18,image+mean+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
8ca584a407d8,3.2910967149596284,43,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e043_de003.2911.pt,late,resnet18,image+mean+meta,none,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a0ce917f261b,3.0266485032234485,44,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e044_de003.0266.pt,late,resnet18,image+meta,pixel,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b6f08e19a3f7,3.9026604929277973,45,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e045_de003.9027.pt,late,resnet18,image,samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
cb442c040603,3.4152403872946033,48,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e048_de003.4152.pt,late,resnet18,image+mean+meta,none,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
58aedc2e2354,3.1036457778843305,52,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e052_de003.1036.pt,late,resnet18,image+mean+meta,pixel,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2c0b37a163db,3.525467450360218,53,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e053_de003.5255.pt,late,resnet18,image,pixel+samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c5b433bfceaf,4.695846919737001,53,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e053_de004.6958.pt,late,resnet18,image,none,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3af3d4743c91,4.147862532666621,60,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e060_de004.1479.pt,late,resnet18,image,pixel,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
e170005dd4b6,3.165260212663291,61,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e061_de003.1653.pt,late,resnet18,image+meta,none,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
bb038b61f9fe,2.8942449554320304,62,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e062_de002.8942.pt,late,resnet18,image+mean+meta,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
658930122b52,6.489325607686803,18,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e018_de006.4893.pt,late,smallcnn,image,none,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
9dd81fecbf4a,2.91139820110367,21,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e021_de002.9114.pt,late,smallcnn,image+mean+meta,pixel+samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3c9b31e9829e,2.9655127970569106,21,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e021_de002.9655.pt,late,smallcnn,image+mean+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
994a7f4aae5f,5.753738090282178,31,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e031_de005.7537.pt,late,smallcnn,image,pixel,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
63a9255109d4,3.3127794256647123,24,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e024_de003.3128.pt,late,smallcnn,image+mean+meta,pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
1dd0d2fbd659,3.546334781719528,24,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e024_de003.5463.pt,late,smallcnn,image+mean+meta,pixel,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3895e98da6aa,6.3766732423201855,24,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e024_de006.3767.pt,late,smallcnn,image,none,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
0fa4d7ccbfc1,6.461571399025295,25,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e025_de006.4616.pt,late,smallcnn,image,none,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
76bd2524f26d,5.271965523800218,26,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e026_de005.2720.pt,late,smallcnn,image,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
da1ea209c269,3.6268446023913397,28,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e028_de003.6268.pt,late,smallcnn,image+meta,none,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
f989a865e48b,5.842422761989914,34,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e034_de005.8424.pt,late,smallcnn,image,pixel,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
