run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,included_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
9d8a2090d322,2.6328324783279236,41,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e041_de002.6328.pt,xattn,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2223d04bbdca,3.975440226810079,37,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e037_de003.9754.pt,xattn,resnet18,image+mean+meta,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
555e10703756,2.6608134436320108,38,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e038_de002.6608.pt,xattn,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
823f0221c086,2.7862557014787055,39,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e039_de002.7863.pt,xattn,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
293547071bff,3.1873542984712473,39,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e039_de003.1874.pt,xattn,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
f43d7ea77cef,3.210338560122888,39,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e039_de003.2103.pt,xattn,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
bd2499f90683,3.223527396766885,39,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e039_de003.2235.pt,xattn,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5c815601cf7c,3.794031097042945,41,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e041_de003.7940.pt,xattn,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
95ab35dd4e14,4.021433160578461,47,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e047_de004.0214.pt,xattn,resnet18,image+mean+meta,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
429cba1d794d,2.8409043823380067,52,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e052_de002.8409.pt,xattn,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
