run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,included_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
9550dc47a1ca,2.6962772210439048,41,/home/dominik/repo/checkpoints/sweep/focus/late_resnet18_e041_de002.6963.pt,late,resnet18,image+mean+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
dbacf1b12873,2.532875784656458,37,/home/dominik/repo/checkpoints/sweep/focus/late_resnet18_e037_de002.5329.pt,late,resnet18,image+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
dd40ac47f6ac,2.173958550016564,44,/home/dominik/repo/checkpoints/sweep/focus/late_resnet18_e044_de002.1740.pt,late,resnet18,image+mean+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c30844c6f6ce,2.658910251525511,17,/home/dominik/repo/checkpoints/sweep/focus/late_smallcnn_e017_de002.6589.pt,late,smallcnn,image+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
46c2fa48fc19,2.3252176865037666,35,/home/dominik/repo/checkpoints/sweep/focus/late_smallcnn_e035_de002.3252.pt,late,smallcnn,image+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
357d60b553c9,3.1131180713051245,33,/home/dominik/repo/checkpoints/sweep/focus/late_smallcnn_e033_de003.1131.pt,late,smallcnn,image+mean+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6970c6d5e0f9,2.22309820192406,46,/home/dominik/repo/checkpoints/sweep/focus/late_smallcnn_e046_de002.2231.pt,late,smallcnn,image+mean+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
d3e467dabfbb,2.9376706951542904,42,/home/dominik/repo/checkpoints/sweep/focus/late_smallcnn_e042_de002.9377.pt,late,smallcnn,image+mean+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
bf91f303951d,2.2460121964833824,46,/home/dominik/repo/checkpoints/sweep/focus/late_smallcnn_e046_de002.2460.pt,late,smallcnn,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
4eacbe85c0f2,2.7026899613832174,54,/home/dominik/repo/checkpoints/sweep/focus/late_smallcnn_e054_de002.7027.pt,late,smallcnn,image+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
0f27e6617c35,2.6297362394500197,56,/home/dominik/repo/checkpoints/sweep/focus/late_smallcnn_e056_de002.6297.pt,late,smallcnn,image+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2e1b76a06fb0,2.308730102447142,23,/home/dominik/repo/checkpoints/sweep/focus/xattn_resnet18_e023_de002.3087.pt,xattn,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
167a365d5af0,2.5807299125625427,32,/home/dominik/repo/checkpoints/sweep/focus/xattn_resnet18_e032_de002.5807.pt,xattn,resnet18,image+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
79e54edd2212,2.2644239190113113,35,/home/dominik/repo/checkpoints/sweep/focus/xattn_resnet18_e035_de002.2644.pt,xattn,resnet18,image+mean+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5929b162bae3,2.7173422888705603,43,/home/dominik/repo/checkpoints/sweep/focus/xattn_resnet18_e043_de002.7173.pt,xattn,resnet18,image+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b6cf7046eb26,2.295318112315902,47,/home/dominik/repo/checkpoints/sweep/focus/xattn_resnet18_e047_de002.2953.pt,xattn,resnet18,image+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b7d5e948e0a9,2.4020648630041825,55,/home/dominik/repo/checkpoints/sweep/focus/xattn_resnet18_e055_de002.4021.pt,xattn,resnet18,image+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c330f1845961,2.5021519075360215,55,/home/dominik/repo/checkpoints/sweep/focus/xattn_resnet18_e055_de002.5022.pt,xattn,resnet18,image+mean+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
e732bdb56f9e,2.445495608341263,27,/home/dominik/repo/checkpoints/sweep/focus/xattn_smallcnn_e027_de002.4455.pt,xattn,smallcnn,image+mean+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
7142ba52c6e2,2.9258984390058016,36,/home/dominik/repo/checkpoints/sweep/focus/xattn_smallcnn_e036_de002.9259.pt,xattn,smallcnn,image+mean+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a350451b6d50,2.626745316020229,49,/home/dominik/repo/checkpoints/sweep/focus/xattn_smallcnn_e049_de002.6267.pt,xattn,smallcnn,image+meta,focus/iphone+iphone,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
07bdf0c096b1,2.743401389372976,53,/home/dominik/repo/checkpoints/sweep/focus/xattn_smallcnn_e053_de002.7434.pt,xattn,smallcnn,image+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
ec0120d60609,2.1544533379106636,55,/home/dominik/repo/checkpoints/sweep/focus/xattn_smallcnn_e055_de002.1545.pt,xattn,smallcnn,image+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6c765f239d89,2.0718189635908746,62,/home/dominik/repo/checkpoints/sweep/focus/xattn_smallcnn_e062_de002.0718.pt,xattn,smallcnn,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
295a99f34332,2.5396289950922917,60,/home/dominik/repo/checkpoints/sweep/focus/xattn_smallcnn_e060_de002.5396.pt,xattn,smallcnn,image+mean+meta,focus/iphone+iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
084d179b431d,2.093193954732045,63,/home/dominik/repo/checkpoints/sweep/focus/xattn_smallcnn_e063_de002.0932.pt,xattn,smallcnn,image+meta,focus,5,1.0,0.001,0.0001,sigmoid_eps,0.001,100
