_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,included_folders
backbone+included_folders,,12,2.3230244854846633,2.3386502464612327,0.1910439192881589,smallcnn,,,focus
backbone+included_folders,,12,2.6662131004166185,2.7287810711484206,0.2374932722486014,smallcnn,,,focus/iphone+iphone
backbone+included_folders,,12,2.7068097549572325,2.6916782361025002,0.2320074012320574,resnet18,,,focus/iphone+iphone
features+mse_weight_epochs,,12,2.4285920753813626,2.4850171081344343,0.3004467628864066,,image+mean+meta,75.0,
features+mse_weight_epochs,,12,2.485133437733901,2.577179732031998,0.3005482034202499,,image+mean+meta,5.0,
features+mse_weight_epochs,,12,2.5774365405002273,2.5732895432579874,0.2611057572763857,,image+meta,75.0,
features+mse_weight_epochs,,12,2.6182849166686073,2.535255784131437,0.22703673915121877,,image+meta,5.0,
features+included_folders,,12,2.2865770107292267,2.326627612832081,0.16380824977272118,,image+mean+meta,,focus
features+included_folders,,12,2.400049274226269,2.423655247472855,0.20220276636425083,,image+meta,,focus
features+included_folders,,12,2.6662131004166185,2.684890079916569,0.2059154505240439,,image+meta,,focus/iphone+iphone
features+included_folders,,12,2.757906909574542,2.7355692273343517,0.259189635804086,,image+mean+meta,,focus/iphone+iphone
mse_weight_epochs+included_folders,,12,2.314780693456351,2.3513886571887985,0.17465912578013035,,,75.0,focus
mse_weight_epochs+included_folders,,12,2.390676949397627,2.398894203116137,0.20277432891769542,,,5.0,focus
mse_weight_epochs+included_folders,,12,2.67353926416029,2.7135413130472976,0.2184368240492865,,,5.0,focus/iphone+iphone
mse_weight_epochs+included_folders,,12,2.699483591213561,2.7069179942036232,0.25148120831211296,,,75.0,focus/iphone+iphone
