_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs
backbone+features,,3,4.1117796220641205,4.1118815806752815,0.11695681429027192,efficientnet_b0,image+meta,
backbone+features,,14,4.290032432044762,4.069009153220113,0.8083432061648932,resnet18,image+meta,
backbone+features,,14,4.576844073318947,4.653632463715764,0.2694682858020083,resnet18,image,
backbone+features,,3,4.626108627042909,4.605383731547185,0.09866348555164337,efficientnet_b0,image+mean,
backbone+features,,3,4.867693270807681,4.90821487961184,0.10186671970007702,efficientnet_b0,image,
backbone+features,,6,4.8688979888307875,4.86808866671318,0.2653676063682247,resnet18,image+mean,
backbone+features,,6,5.196596610027811,5.232557928159041,0.14396452416459526,smallcnn,image+mean,
backbone+features,,6,5.633766273830248,5.5460116199825125,0.29305674652728103,smallcnn,image,
backbone+mse_weight_epochs,,4,4.246489917713663,4.274626110083815,0.5059576079798628,efficientnet_b0,,75.0
backbone+mse_weight_epochs,,8,4.309820479932039,4.3612383909847425,1.0827447605803202,smallcnn,,50.0
backbone+mse_weight_epochs,,7,4.327924994454867,4.111005512182263,0.9354532042548243,resnet18,,25.0
backbone+mse_weight_epochs,,8,4.3907280752624285,4.427071956447933,1.1567020994774846,smallcnn,,25.0
backbone+mse_weight_epochs,,4,4.401909066628718,4.358336208177649,0.4874288568355014,efficientnet_b0,,50.0
backbone+mse_weight_epochs,,8,4.415128321233003,4.335102619036384,1.0888742912704699,smallcnn,,75.0
backbone+mse_weight_epochs,,4,4.427498983991319,4.4725144346555075,0.4473021617852592,efficientnet_b0,,25.0
backbone+mse_weight_epochs,,1,4.46003777946251,4.46003777946251,,resnet18,,40.0
backbone+mse_weight_epochs,,7,4.481163904632347,4.11498831685779,0.8391507495835323,resnet18,,75.0
backbone+mse_weight_epochs,,15,4.489930328281447,4.254600940528322,0.7222454211636499,resnet18,,50.0
backbone+mse_weight_epochs,,13,4.5881889094477115,4.403277497989416,0.6733601963705615,resnet18,,10.0
features+mse_weight_epochs,,4,3.151865687923155,3.284101572935132,0.30370441992264857,,image+mean+meta,75.0
features+mse_weight_epochs,,4,3.259315183542777,3.439358092218206,0.38171920860671055,,image+mean+meta,25.0
features+mse_weight_epochs,,5,3.3766825793445974,3.4731955847532854,0.4741482482569919,,image+meta,25.0
features+mse_weight_epochs,,6,3.3767362933227982,3.4805982153872024,0.395005204544802,,image+mean+meta,50.0
features+mse_weight_epochs,,5,3.4245887576669887,3.556216825402301,0.3152333474119328,,image+meta,75.0
features+mse_weight_epochs,,4,3.644303102602904,3.762284171992335,0.8641281329659679,,image+mean+meta,10.0
features+mse_weight_epochs,,9,4.1117796220641205,3.9979440325865627,0.7037812633106068,,image+meta,50.0
features+mse_weight_epochs,,1,4.46003777946251,4.46003777946251,,,image,40.0
features+mse_weight_epochs,,5,4.620835029215052,4.64147329550633,0.21953918015003882,,image,10.0
features+mse_weight_epochs,,4,4.808409879018162,4.746526077090353,0.4507663983916034,,image+meta,10.0
features+mse_weight_epochs,,7,4.832844475732333,4.895115439968582,0.4809827291745757,,image,50.0
features+mse_weight_epochs,,5,4.855409783902376,4.81669928205186,0.31164410832806655,,image+mean,75.0
features+mse_weight_epochs,,5,5.024106892295506,5.1270199464715045,0.5542516616845964,,image,25.0
features+mse_weight_epochs,,5,5.10783030330271,5.065032390096913,0.3249787390251576,,image+mean,25.0
features+mse_weight_epochs,,5,5.134483805946682,5.002274480626204,0.304616907673045,,image+mean,50.0
features+mse_weight_epochs,,5,5.192512839773427,5.1166513563239056,0.4791014693934373,,image,75.0
