ISOSpeedRatings,ShutterSpeedValue,BrightnessValue,L,a,b,L-true,a-true,b-true,Make_Apple,Make_Google,Make_samsung
80,5.99391889,3.755024009,59.178204,6.4073505,14.6331835,36.526527,8.958122,18.282227,1,0,0
80,5.970390217,3.717116564,57.912712,7.034019,13.206574,36.983135,7.396573,18.251486,1,0,0
80,5.914586223,3.60451742,57.060856,7.5145717,11.647958,33.213768,6.3713136,12.955596,1,0,0
80,5.914586223,3.495731528,51.877544,8.2503,10.7006645,32.33968,6.5425053,10.4437895,1,0,0
80,5.922702298,3.685565024,56.56195,9.438188,8.548838,32.856842,6.824586,11.191873,1,0,0
80,5.972019358,3.727019963,56.98842,12.094915,8.499268,32.19292,7.772759,9.624341,1,0,0
80,5.995666892,3.741525236,59.266396,12.550092,12.201025,33.565285,9.547109,12.275983,1,0,0
80,5.997324841,3.766770011,59.052784,10.252639,13.022309,34.760506,9.049045,13.958458,1,0,0
80,6.196012545,3.949776094,59.80061,10.370145,17.022795,36.308044,8.161045,17.341476,1,0,0
80,5.914586223,3.526779961,53.51296,4.854885,7.697985,29.874323,5.4391413,9.446052,1,0,0
100,5.914586223,3.45666911,51.26764,3.8701875,9.199922,29.264156,4.863841,7.9021463,1,0,0
100,5.914586223,3.503142523,52.680553,5.0844536,8.99838,29.810255,5.300289,8.053745,1,0,0
100,5.914586223,3.43597109,53.768345,6.101781,8.54351,29.605753,6.2325225,8.429821,1,0,0
80,5.957064346,3.743259576,59.51251,7.830402,12.044357,34.92166,7.977071,14.15584,1,0,0
640,4.276121696,-0.1878208865,67.7421,5.012944,5.838517,73.83144,4.9196286,6.9349422,1,0,0
640,4.276121696,-0.2630272311,67.90934,8.387499,8.607788,72.794525,6.5501328,9.8508,1,0,0
640,4.276121696,-0.2727097842,65.89581,12.015247,12.201362,73.2979,8.30943,13.9308195,1,0,0
640,4.276121696,-0.3372817853,67.61248,8.887821,6.0223794,71.949615,6.289175,8.049189,1,0,0
640,4.276121696,-0.3995660638,65.549416,8.306891,11.272928,72.2858,7.187121,13.533483,1,0,0
640,4.276121696,-0.4048798637,63.51261,11.033937,11.227205,72.31121,8.8762455,13.609479,1,0,0
640,4.276121696,-0.3942717645,65.76634,9.847525,12.451405,72.15224,8.06445,15.013291,1,0,0
640,4.276121696,-0.3837410963,65.350296,9.338479,14.431525,72.4772,7.769709,16.02714,1,0,0
640,4.276121696,-0.3995660638,65.4314,8.598455,14.805045,72.54559,6.458333,16.094734,1,0,0
640,4.276121696,-0.2727097842,65.81803,9.92268,16.516142,73.47208,5.4782414,17.954376,1,0,0
640,4.276121696,-0.5681656678,64.08615,9.897713,12.167303,71.1122,8.53389,13.513726,1,0,0
640,4.276121696,-0.4983442186,63.66487,16.481636,12.296825,70.96779,11.017098,13.915399,1,0,0
640,4.276121696,-0.5328325947,62.05356,18.15692,12.32172,71.01131,12.716345,14.0191345,1,0,0
640,4.276121696,-0.5040353305,64.3077,10.01381,12.559557,71.43726,8.233705,14.531908,1,0,0
640,4.276121696,-0.4983442186,65.560555,11.274913,12.455631,71.55298,8.761308,14.159968,1,0,0
640,4.276121696,-0.5040353305,63.34308,10.27656,12.324194,71.41562,8.091913,15.049358,1,0,0
640,4.276121696,-0.5097489818,63.83426,9.953659,12.549861,71.27918,7.4235406,15.93976,1,0,0
640,4.276121696,-0.5622164017,60.598263,8.340723,12.673956,71.07183,6.5074253,16.170076,1,0,0
640,4.276121696,-0.3995660638,66.43142,9.980657,16.54416,72.370224,5.51347,18.01532,1,0,0
640,4.276121696,-0.5801383098,58.68811,10.354387,11.5742,70.56252,9.332982,13.840332,1,0,0
640,4.276121696,-0.5622164017,63.752445,13.65356,11.078333,70.6432,11.316616,12.8952055,1,0,0
640,4.276121696,-0.4926754685,64.07293,18.225441,12.143866,70.2198,12.647744,12.863989,1,0,0
640,4.276121696,-0.5503909661,64.42357,9.970606,12.777242,70.30789,8.133978,15.104418,1,0,0
640,4.276121696,-0.5097489818,64.39938,11.2204895,12.515744,70.88817,9.03492,14.859796,1,0,0
640,4.276121696,-0.4983442186,65.445724,9.833727,12.455272,70.771866,8.507273,15.231792,1,0,0
640,4.276121696,-0.5097489818,63.112103,9.511706,12.476424,70.91015,7.4370885,15.958854,1,0,0
640,4.276121696,-0.5040353305,61.07038,7.7051187,12.794612,70.70245,6.5199704,16.189236,1,0,0
640,4.276121696,-0.4814043563,65.62295,7.500696,15.38942,70.47546,5.4609585,16.940756,1,0,0
640,4.276121696,-0.6541388903,59.13193,9.926762,12.516734,69.313416,8.707221,14.786764,1,0,0
640,4.276121696,-0.6415388541,58.901012,13.487243,10.342353,69.06666,10.999094,12.812806,1,0,0
