L,a,b,ExposureTime,FNumber,ExposureProgram,ISOSpeedRatings,ShutterSpeedValue,ApertureValue,BrightnessValue,ExposureBiasValue,MaxApertureValue,MeteringMode,Flash,FocalLength,ColorSpace,ExposureMode,WhiteBalance,DigitalZoomRatio,FocalLengthIn35mmFilm,SceneCaptureType,Make,Model,L-true,a-true,b-true
79.78315,1.5330046,3.5128832,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.187762351,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,71.1122,8.53389,13.513726
75.42774,3.4426315,2.3795037,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.276012781,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,70.96779,11.017098,13.915399
73.05501,6.682811,3.2199864,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.24883793,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,71.01131,12.716345,14.0191345
73.363464,4.764711,7.4566984,0.00826446281,1.9,2,64,6.92243978,1.851998802,4.980921823,0,0,3,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,71.43726,8.233705,14.531908
78.144554,2.08894,5.775701,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.233809718,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,71.55298,8.761308,14.159968
77.7046,2.7396502,3.5202148,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.240352192,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,71.41562,8.091913,15.049358
74.03503,3.6392725,8.512966,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.193279352,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,71.27918,7.4235406,15.93976
78.667465,1.5415292,5.70197,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.17733781,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,71.07183,6.5074253,16.170076
80.40104,2.0002823,3.6233618,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.283468586,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,72.370224,5.51347,18.01532
75.54859,2.3340745,3.5999608,0.00826446281,1.9,2,64,6.92243978,1.851998802,5.159487362,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,70.56252,9.332982,13.840332
78.9908,1.7408322,2.222146,0.00826446281,1.9,2,64,6.92243978,1.851998802,5.176834595,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,70.6432,11.316616,12.8952055
73.678215,2.302685,3.6910248,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.216486746,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,70.2198,12.647744,12.863989
78.54554,3.2068307,6.853832,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.202100858,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,70.30789,8.133978,15.104418
73.662766,3.0642066,2.492618,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.270474597,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,70.88817,9.03492,14.859796
74.700516,3.19061,3.4333575,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.240259984,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,70.771866,8.507273,15.231792
74.58164,2.2959113,3.6813614,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.270474597,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,70.91015,7.4370885,15.958854
76.914116,2.4441242,6.2334385,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.233478182,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,70.70245,6.5199704,16.189236
76.557945,1.030368,2.6441255,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.17733781,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,70.47546,5.4609585,16.940756
80.31635,3.1567333,3.3214672,0.00826446281,1.9,2,64,6.92243978,1.851998802,4.869078204,0,0,3,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,69.313416,8.707221,14.786764
71.76372,5.592414,2.1234071,0.00826446281,1.9,2,64,6.92243978,1.851998802,4.921101739,0,0,3,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,69.06666,10.999094,12.812806
71.28221,7.034109,2.348022,0.00826446281,1.9,2,64,6.92243978,1.851998802,4.877750124,0,0,3,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,69.23175,11.815551,11.400283
74.18825,3.274798,0.76100117,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.252240852,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,69.00479,12.507379,10.525231
74.221725,0.86080444,2.0262036,0.00826446281,1.9,2,50,6.92243978,1.851998802,5.256293732,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,69.051544,12.80111,9.483128
72.70024,4.1612163,5.5243945,0.00826446281,1.9,2,64,6.92243978,1.851998802,5.194037676,0,0,5,16,2.690000057,65535,0,0,0,30,0,Apple,iPhone 15 Pro Max,69.196754,8.177129,15.160667
